NORM SPECTRA FILE NAME,BI TOTAL,BI INDIVIDUAL,VMINS,VMAXS,EW INDIVIDUAL,DEPTH
spec-5868-56045-0372norm.dr16,333.45,"[26.09, 307.35]",[-43872.01366 -45289.56442],[-45019.67396 -48790.62756],"[35.42, 323.4]","[0.26, 0.42]"
,,,,,,
spec-5133-55860-0412norm.dr16,181.45,"[138.73, 5.09, 33.24, 4.39]",[-40564.33995 -44014.73599 -48327.71626 -50409.67522],[-43406.68167 -44622.44677 -49402.87346 -50946.05896],"[157.29, 12.51, 104.88, 12.09]","[0.31, 0.18, 0.4, 0.16]"
,,,,,,
spec-7622-56987-0113norm.dr16,220.03,"[19.75, 200.28]",[-40835.40467 -41986.47373],[-41580.28607 -46914.66435],"[26.4, 202.36]","[0.22, 0.51]"
,,,,,,
spec-5174-56047-0344norm.dr16,1601.07,"[1482.58, 118.49]",[-34442.18175 -42114.98222],[-41844.23204 -42926.63675],"[1505.88, 157.85]","[0.72, 0.57]"
,,,,,,
spec-10748-58224-0461norm.dr16,3234.37,"[3180.33, 53.96, 0.07]",[-32533.48354 -45425.27681 -47581.11754],[-43940.28716 -46638.55955 -48119.19827],"[3189.78, 68.69, 12.82]","[0.9, 0.34, 0.19]"
,,,,,,
spec-6122-56246-0696norm.dr16,595.95,"[101.53, 465.36, 29.06]",[-41352.79853 -46216.79234 -57265.97399],[-42232.65802 -50117.1391  -57864.22606],"[163.83, 473.2, 64.49]","[0.51, 0.32, 0.39]"
,,,,,,
spec-7610-56980-0454norm.dr16,393.6,"[0.39, 89.04, 245.2, 58.96]",[-37825.77677 -41352.79853 -47159.7806  -56201.04911],[-38369.22326 -42165.04731 -49647.31173 -56999.85666],"[74.02, 130.87, 284.32, 72.46]","[0.63, 0.49, 0.35, 0.45]"
,,,,,,
spec-6720-56390-0552norm.dr16,710.23,"[385.12, 279.08, 46.03]",[-36811.46132 -47366.63493 -51664.00512],[-40002.56256 -50792.78523 -52868.68412],"[420.58, 339.66, 80.9]","[0.41, 0.51, 0.31]"
,,,,,,
spec-8396-57837-0736norm.dr16,1026.8,"[326.26, 700.54]",[-36879.39481 -47231.99015],[-39799.20107 -52868.68412],"[335.33, 743.03]","[0.33, 0.44]"
,,,,,,
spec-1982-53436-0626norm.dr16,504.85,"[7.88, 129.85, 78.59, 52.64, 106.22, 129.67]","[-38525.82226 -39475.88536 -41509.02641 -42997.59798 -45158.823
 -47718.92585]","[-39068.92207 -41102.77058 -42659.50436 -44618.84809 -47382.49469
 -49063.60175]","[19.13, 156.47, 90.79, 89.35, 107.5, 163.53]","[0.21, 0.31, 0.41, 0.27, 0.37, 0.49]"
,,,,,,
spec-6447-56362-0854norm.dr16,577.15,"[435.07, 85.16, 56.92]",[-39543.80943 -45428.49091 -48055.23172],[-43741.06198 -47449.69926 -48929.21883],"[468.85, 100.13, 90.67]","[0.36, 0.28, 0.33]"
,,,,,,
spec-5421-55980-0918norm.dr16,187.85,[187.85],[-53918.0452],[-56851.67565],[195.41],[0.33]
,,,,,,
spec-5422-55986-0288norm.dr16,168.82,[168.82],[-54185.21222],[-55986.17547],[200.14],[0.36]
