,Spectra Name,Redshift,SNR
390,spec-7096-56683-0851-dered.dr16,1.93642,19.24054
391,spec-8845-58159-0222-dered.dr16,1.936,20.5237
392,spec-9607-58085-0212-dered.dr16,1.9363,20.51696
393,spec-7654-57330-0687-dered.dr16,1.93758,17.80594
394,spec-8792-57364-0377-dered.dr16,1.93683,17.31242
395,spec-7860-57006-0488-dered.dr16,1.94087,19.90683
396,spec-5353-55980-0008-dered.dr16,1.937095,24.33813
397,spec-5380-55980-0910-dered.dr16,1.93741,22.60968
398,spec-5398-56011-0911-dered.dr16,1.937,16.5968
399,spec-5728-56334-0996-dered.dr16,1.93631,16.36233
400,spec-7088-56657-0335-dered.dr16,1.937,14.73076
401,spec-7103-56661-0296-dered.dr16,1.93762,30.58686
402,spec-7864-56979-0100-dered.dr16,1.935731,17.7895
403,spec-8206-57424-0855-dered.dr16,1.94,14.86899
404,spec-7403-57071-0239-dered.dr16,1.94355,13.75368
405,spec-7670-57328-0042-dered.dr16,1.94546,19.69938
406,spec-7671-57360-0342-dered.dr16,1.94168,14.10499
407,spec-7627-56933-0610-dered.dr16,1.93688,20.71915
408,spec-8421-58223-0934-dered.dr16,1.9376,13.58281
409,spec-11126-58436-0238-dered.dr16,1.9378,18.56734
410,spec-6621-56366-0216-dered.dr16,1.941464,17.83753
411,spec-6737-56365-0778-dered.dr16,1.93958,29.64951
412,spec-7670-57328-0178-dered.dr16,1.9421,21.66234
413,spec-11649-58514-0179-dered.dr16,1.9382,20.44197
414,spec-9397-58107-0812-dered.dr16,1.9383,18.90996
415,spec-7822-57041-0241-dered.dr16,1.94158,17.24156
416,spec-7598-56956-0437-dered.dr16,1.93896,14.27116
417,spec-7703-57333-0656-dered.dr16,1.94607,19.71028
418,spec-10762-58390-0634-dered.dr16,1.9389,18.95336
419,spec-5288-55865-0944-dered.dr16,1.94105,18.91986
420,spec-5298-55979-0186-dered.dr16,1.94271,19.31912
421,spec-6484-56358-0792-dered.dr16,1.94122,21.63905
422,spec-6492-56362-0581-dered.dr16,1.941763,16.35396
423,spec-7291-56992-0102-dered.dr16,1.940233,42.87424
424,spec-7747-58398-0154-dered.dr16,1.9391,23.45397
425,spec-7835-56986-0464-dered.dr16,1.94138,26.12578
426,spec-8749-57684-0186-dered.dr16,1.9399,15.73014
427,spec-4870-55923-0484-dered.dr16,1.94237,28.87622
428,spec-5158-55913-0136-dered.dr16,1.94275,31.81841
429,spec-5287-55952-0034-dered.dr16,1.9395,17.94995
430,spec-5712-56602-0074-dered.dr16,1.942219,19.64569
431,spec-5739-55976-0762-dered.dr16,1.93548,17.20028
432,spec-6430-56299-0513-dered.dr16,1.94394,19.72721
433,spec-6457-56330-0098-dered.dr16,1.93977,15.20408
434,spec-6478-56341-0689-dered.dr16,1.93783,15.98854
435,spec-6489-56329-0126-dered.dr16,1.93827,16.74164
436,spec-6740-56401-0060-dered.dr16,1.94076,20.89873
437,spec-8370-57732-0710-dered.dr16,1.94,19.82142
438,spec-9366-57746-0225-dered.dr16,1.9401,14.32707
439,spec-8736-57400-0595-dered.dr16,1.94508,19.38936
